Source,Target,Source_Label,Target_Label,Type,Category,Evidence Notes,URL,Strength,Frequency
A049,A001,Freie Waldorfschule Werder/Havel,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A006,A001,Ökonauten eG,SoLaWi BAUERei Potsdam-Grube,directed,Financial,,,,
A006,A001,Ökonauten eG,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A008,A001,Ernährungsrat Potsdam (Food Council Potsdam),SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A008,A009,Ernährungsrat Potsdam (Food Council Potsdam),Ernährungsrat Brandenburg,undirected,Institutional/Organisational,,,,
A009,A011,Ernährungsrat Brandenburg,BioRegion Havelland,directed,Institutional/Organisational,BioRegion Havelland is explicitly stated as a project of Ernährungsrat Brandenburg,https://www.bioregion-havelland.de/index.php/projekt/,,
A010,A001,Netzwerk “Hier kommt dein Essen her”,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A008,A010,Ernährungsrat Potsdam (Food Council Potsdam),Netzwerk “Hier kommt dein Essen her”,directed,Financial,,,,
A011,A083,BioRegion Havelland,Bio Hofgut Kleimeier,undirected,Institutional/Organisational,Bio Hofgut Kleimeier is listed publicly as a “Partnerbetrieb” of BioRegion Havelland.,BioRegion Havelland Kooperationspartner page,,
A011,A046,BioRegion Havelland,BIOHOF WERDER,undirected,Social,BIOHOF WERDER participates in “Farm-to-table Dinner” events organised through the BioRegion network. ,BioRegion Havelland events,,
A012,A011,Stadt-Land.move e.V.,BioRegion Havelland,directed,Institutional/Organisational,BioRegion Havelland states the project is “angesiedelt bei Stadt-Land.move e.V.” ,Stadt-Land.move website,,
A013,A045,LEADER program,European Commission,undirected,Institutional/Organisational,,,,
A076,A001,"Land Brandenburg-Ministerium für Landwirtschaft, Umwelt und Klimaschutz",SoLaWi BAUERei Potsdam-Grube,directed,Financial,,,,
A015,A045,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,European Commission,undirected,Institutional/Organisational,,,,
A016,A001,Heimvolksschule am Seddiner See e.V. ,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A017,A001,BNE Brandenburg,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A018,A001,AWO Grundschule ,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A019,A001,"AWO Grundschule ""Marie Juchacz""",SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
